time_s,x_px,x_mm
0.0,-0.8367521897775987,
0.03333333333333333,1.065986103276714,
0.06666666666666667,-0.6326346579478468,
0.1,0.6638972514809893,
0.13333333333333333,1.5159733226411163,
0.16666666666666666,1.519399366726816,
0.2,1.2468627093844589,
0.23333333333333334,1.0881826189076946,
0.26666666666666666,1.478982771168944,
0.3,0.9586527805992091,
0.3333333333333333,1.0491588933664389,
0.36666666666666664,0.627219768711825,
0.4,1.1770486741464765,
0.43333333333333335,1.1969508269773996,
0.4666666666666667,1.108065925216465,
0.5,0.8215889344419338,
0.5333333333333333,0.8709293380521785,
0.5666666666666667,1.04937811396303,
0.6,0.8370139450211127,
0.6333333333333333,0.8414795482950694,
0.6666666666666666,1.2663741059814129,
0.7,0.7177855242366604,
0.7333333333333333,0.7644333953821842,
0.7666666666666667,0.5304167417787085,
0.8,0.7130993747053935,
0.8333333333333334,0.9424887889365436,
0.8666666666666667,0.728040558572502,
0.9,-2.5806298906524034,
0.9333333333333333,3.0609213688163663,
0.9666666666666667,-2.311239492998766,
1.0,3.25007453032822,
1.0333333333333334,-2.6764152117493722,
1.0666666666666667,3.3837280492914488,
1.1,-2.335069455874418,
1.1333333333333333,1.6776423606218032,
1.1666666666666667,-0.17413843826614084,
1.2,0.20013835422776083,
1.2333333333333334,1.3375895138818805,
1.2666666666666666,-0.6001396482384962,
1.3,0.7534602034043019,
1.3333333333333333,-0.5078035793409299,
1.3666666666666667,3.5119289150552504,
1.4,-1.8896382801443679,
1.4333333333333333,3.276250991214056,
1.4666666666666666,-2.3913188121202893,
1.5,3.231455311169384,
1.5333333333333334,-2.6986296393473594,
1.5666666666666667,3.4151496367362597,
1.6,-2.020924532520553,
1.6333333333333333,0.20531997421483084,
1.6666666666666667,1.3252260626845782,
1.7,-2.074207905411413,
1.7333333333333334,1.2638404486473291,
1.7666666666666666,-2.9625153325492875,
1.8,-0.951478604132376,
1.8333333333333333,-0.17615283807265314,
1.8666666666666667,0.5885533245836996,
1.9,-3.2729506892237623,
1.9333333333333333,-3.407695585764486,
1.9666666666666666,-2.6376373701803004,
2.0,-0.9140525106747646,
2.033333333333333,2.498496674216085,
2.066666666666667,-1.4782769887833638,
2.1,-2.2641038392658857,
2.1333333333333333,2.3170696508165065,
2.1666666666666665,-2.734951939244411,
2.2,-0.9730260527702512,
2.2333333333333334,-0.053326161019640494,
2.2666666666666666,-0.5979916617757226,
2.3,-2.7417626699469793,
2.3333333333333335,2.2591421523748068,
2.3666666666666667,0.06701030099725358,
2.4,-0.27493461123378893,
2.433333333333333,0.08191078339950764,
2.466666666666667,1.5784445444307948,
2.5,-2.316738798180495,
2.533333333333333,-0.8402452813446644,
2.566666666666667,1.309306957271474,
2.6,-2.1385220199410924,
2.6333333333333333,-0.763074681443527,
2.6666666666666665,0.20020393848085405,
2.7,1.7575691668866966,
2.7333333333333334,1.753286245108825,
2.7666666666666666,0.16586228499863864,
2.8,-0.5134859824661362,
2.8333333333333335,-0.3853598312922486,
2.8666666666666667,0.8487850363466123,
2.9,-1.7221644598362218,
2.933333333333333,1.7396956090487947,
2.966666666666667,-0.963625862711865,
3.0,0.5471590017888275,
3.033333333333333,0.624978000476176,
3.066666666666667,1.3750457750186342,
3.1,1.520125476109115,
3.1333333333333333,-0.4246002745669557,
3.1666666666666665,1.2673952052200548,
3.2,-1.3105325422417309,
3.2333333333333334,-0.6123890584373157,
3.2666666666666666,1.0184529266286972,
3.3,0.1128884659437972,
3.3333333333333335,1.036809779152577,
3.3666666666666667,0.4335385783500669,
3.4,0.044413673294343425,
3.433333333333333,-0.6190741556563353,
3.466666666666667,-0.015549388358294891,
3.5,-1.1891283296519077,
3.533333333333333,-0.7660855163545648,
3.566666666666667,1.0003326140119952,
3.6,-0.3279185070900894,
3.6333333333333333,0.741397945796507,
3.6666666666666665,0.7760102655108767,
3.7,0.6729780196499178,
3.7333333333333334,-1.1131665273579756,
3.7666666666666666,0.9804069985293609,
3.8,0.7426787174822493,
3.8333333333333335,0.251449973209219,
3.8666666666666667,-1.0471910453718465,
3.9,0.5532730158673758,
3.933333333333333,0.6267740832626032,
3.966666666666667,-0.009786192860588017,
4.0,-0.8830223131324146,
4.033333333333333,-0.2775664961155826,
4.066666666666666,0.7301536130370323,
4.1,-0.903891378270032,
4.133333333333334,-0.23947416193698245,
4.166666666666667,-0.18619301177363923,
4.2,0.5583034126725579,
4.233333333333333,-0.8733262940245368,
4.266666666666667,-0.7712346629405147,
4.3,-0.12724938307030698,
4.333333333333333,-0.08639801937829361,
4.366666666666666,-0.33438038728945685,
4.4,-0.5563433203179784,
4.433333333333334,-0.23994422596592813,
4.466666666666667,0.24293035354492076,
4.5,-0.08041592820222832,
4.533333333333333,-0.27704920663404664,
4.566666666666666,-0.2129249762276686,
4.6,0.22309566243768586,
4.633333333333334,0.4836730195254404,
4.666666666666667,0.1005111037146662,
4.7,-0.20184034108729065,
4.733333333333333,0.1394749404025788,
4.766666666666667,0.28993361928587547,
4.8,0.4970034415105147,
4.833333333333333,0.7601446140274675,
4.866666666666666,0.5776702951793595,
4.9,0.5674891216276592,
4.933333333333334,0.8371562740717309,
4.966666666666667,0.839439492897327,
