time_s,position_px,label,peak_to_peak_px
0.03333333333333333,1.065986103276714,top,
0.06666666666666667,-0.6326346579478468,bottom,1.6986207612245607
0.16666666666666666,1.519399366726816,top,2.1520340246746628
0.9,-2.5806298906524034,bottom,4.100029257379219
0.9333333333333333,3.0609213688163663,top,5.64155125946877
0.9666666666666667,-2.311239492998766,bottom,5.372160861815132
1.0,3.25007453032822,top,5.561314023326986
1.0333333333333334,-2.6764152117493722,bottom,5.926489742077592
1.0666666666666667,3.3837280492914488,top,6.060143261040821
1.1,-2.335069455874418,bottom,5.718797505165867
1.1333333333333333,1.6776423606218032,top,4.012711816496221
1.1666666666666667,-0.17413843826614084,bottom,1.851780798887944
1.2333333333333334,1.3375895138818805,top,1.5117279521480214
1.2666666666666666,-0.6001396482384962,bottom,1.9377291621203767
1.3,0.7534602034043019,top,1.353599851642798
1.3333333333333333,-0.5078035793409299,bottom,1.2612637827452318
1.3666666666666667,3.5119289150552504,top,4.01973249439618
1.4,-1.8896382801443679,bottom,5.401567195199618
1.4333333333333333,3.276250991214056,top,5.165889271358424
1.4666666666666666,-2.3913188121202893,bottom,5.667569803334345
1.5,3.231455311169384,top,5.622774123289673
1.5333333333333334,-2.6986296393473594,bottom,5.9300849505167434
1.5666666666666667,3.4151496367362597,top,6.113779276083619
1.6,-2.020924532520553,bottom,5.436074169256813
1.6666666666666667,1.3252260626845782,top,3.346150595205131
1.7,-2.074207905411413,bottom,3.399433968095991
1.7333333333333334,1.2638404486473291,top,3.338048354058742
1.7666666666666666,-2.9625153325492875,bottom,4.226355781196617
1.8666666666666667,0.5885533245836996,top,3.551068657132987
1.9333333333333333,-3.407695585764486,bottom,3.9962489103481857
2.033333333333333,2.498496674216085,top,5.906192259980571
2.1,-2.2641038392658857,bottom,4.762600513481971
2.1333333333333333,2.3170696508165065,top,4.581173490082392
2.1666666666666665,-2.734951939244411,bottom,5.052021590060917
2.2333333333333334,-0.053326161019640494,top,2.6816257782247703
2.3,-2.7417626699469793,bottom,2.6884365089273388
2.3333333333333335,2.2591421523748068,top,5.000904822321786
2.4,-0.27493461123378893,bottom,2.5340767636085957
2.466666666666667,1.5784445444307948,top,1.8533791556645838
2.5,-2.316738798180495,bottom,3.89518334261129
