time_s,position_px,label,peak_to_peak_px
0.018153163404642694,1.185572073428773,bottom,
0.04235738127749962,1.919394925293716,top,0.733822851864943
0.060510544682142314,1.2026860495922733,bottom,0.7167088757014426
0.07866370808678501,1.6757672906762195,top,0.4730812410839462
0.08471476255499924,1.2593783891073258,bottom,0.41638890156889374
0.10286792595964193,1.7270468094154126,top,0.46766842030808675
0.1149700348960704,0.615615788047478,bottom,1.1114310213679346
0.12102108936428463,1.647631066797942,top,1.032015278750464
0.1331231983007131,1.2019950473576841,bottom,0.44563601944025777
0.16942952510999848,2.6460022816046944,top,1.4440072342470103
0.19968479745106965,-0.07682004279064358,bottom,2.722822324395338
0.20573585191928387,0.3763146927765888,top,0.4531347355672324
0.21178690638749811,-0.06726386433234666,bottom,0.44357855710893546
0.24204217872856926,2.8457822511983863,top,2.913046115530733
0.2480932331967835,2.281066306905302,bottom,0.5647159442930842
0.26019534213321194,3.5688072128149884,top,1.2877409059096863
0.2904506144742831,-0.30992752495450304,bottom,3.8787347377694914
0.31465483234714003,3.567173830430818,top,3.877101355385321
0.3449101046882112,0.2053023242520453,bottom,3.3618715061787725
0.36911432256106813,3.077668032628992,top,2.8723657083769467
0.3993695949021393,-0.3705842329345046,bottom,3.4482522655634966
0.4296248672432105,2.3276043873320873,top,2.698188620266592
0.46593119405249583,-0.8431975754594419,bottom,3.170801962791529
0.5082885753299955,2.691025696069744,top,3.5342232715291857
0.5385438476710667,-0.4616697103335241,bottom,3.152695406403268
0.5687991200121378,2.431264451938148,top,2.892934162271672
0.5990543923532089,-0.8321256292023804,bottom,3.2633900811405283
0.6232586102260659,1.9060753507305321,top,2.7382009799329126
0.653513882567137,-0.8589727132373923,bottom,2.7650480639679245
0.6837691549082082,2.449775733689364,top,3.3087484469267565
0.7079733727810651,-0.87986781801186,bottom,3.329643551701224
0.7503307540585648,2.704011825287864,top,3.583879643299724
0.7926881353360643,-0.31301130877403693,bottom,3.017023134061901
0.8168923532089213,2.5033169987141832,top,2.81632830748822
0.8410965710817783,-0.601979868356068,bottom,3.105296867070251
0.8531986800182066,1.810452164457331,top,2.412432032813399
0.8653007889546351,0.010052161694204642,bottom,1.8004000027631264
0.8774028978910636,1.359654290037554,top,1.3496021283433492
0.8895050068274921,0.7398719348493046,bottom,0.6197823551882493
0.9016071157639205,1.4159757324048883,top,0.6761037975555837
0.913709224700349,-0.307492733006427,bottom,1.7234684654113153
0.9197602791685632,1.2691449464800257,top,1.5766376794864527
0.9318623881049917,0.2052699940178968,bottom,1.063874952462129
0.9439644970414202,1.1145918920403233,top,0.9093218980224265
0.9500155515096343,0.4462011165477975,bottom,0.6683907754925258
0.968168714914277,0.8253186362532574,top,0.3791175197054599
0.9802708238507055,-0.5461667128859631,bottom,1.3714853491392205
0.992372932787134,0.8684926077149271,top,1.4146593206008902
1.016577150659991,0.21015329721302578,bottom,0.6583393105019013
1.0286792595964194,0.6813181585201278,top,0.471164861307102
1.0347303140646336,0.017857555051307372,bottom,0.6634606034688204
1.0407813685328478,1.0875236385491576,top,1.0696660834978502
1.0468324230010622,0.5285551250518097,bottom,0.5589685134973479
1.0589345319374905,1.6145769311053186,top,1.086021806053509
1.071036640873919,0.4690650728088599,bottom,1.1455118582964587
1.0770876953421333,1.5590585644983435,top,1.0899934916894836
1.0891898042785617,0.045110152631139044,bottom,1.5139484118672044
1.095240858746776,1.6738492490378007,top,1.6287390964066617
1.1073429676832045,0.06023363641151036,bottom,1.6136156126262904
1.1133940221514187,1.2489187442122898,top,1.1886851078007794
1.125496131087847,0.7735237192732143,bottom,0.4753950249390755
1.1315471855560613,1.6489946848507202,top,0.8754709655775059
1.1375982400242757,0.3307885742053145,bottom,1.3182061106454057
1.149700348960704,1.55033184544169,top,1.2195432712363754
1.1557514034289182,0.3108484360952275,bottom,1.2394834093464624
1.1678535123653466,1.3691893911216653,top,1.0583409550264378
1.173904566833561,-0.7223841347761777,bottom,2.091573525897843
1.1860066757699894,0.8719670932237591,top,1.5943512279999368
1.1920577302382036,-0.21094049128333836,bottom,1.0829075845070975
1.1981087847064178,1.0702988431707467,top,1.281239334454085
1.2102108936428464,-0.2669048463797594,bottom,1.3372036895505062
1.2223130025792748,1.259949712850755,top,1.5268545592305145
1.2344151115157034,0.3107208653355542,bottom,0.9492288475152009
1.2465172204521318,2.0844128013231398,top,1.7736919359875856
1.2586193293885601,0.582128659662601,bottom,1.5022841416605388
1.2707214383249887,1.160162326202851,top,0.5780336665402501
1.2949256561978455,0.16729419303482018,bottom,0.9928681331680309
1.30097671066606,0.7431062293603077,top,0.5758120363254875
1.3130788196024883,-0.1762363822500106,bottom,0.9193426116103183
1.331231983007131,0.459348187463263,top,0.6355845697132736
1.3372830374753453,0.16530795547049593,bottom,0.2940402319927671
1.3735893642846306,1.0638269115317485,top,0.8985189560612525
1.3917425276892732,0.2242427333464434,bottom,0.8395841781853051
1.4280488544985588,1.1227506358530377,top,0.8985079025065943
1.4401509634349872,0.49336191806713714,bottom,0.6293887177859006
1.4462020179032014,0.9894561952777963,top,0.49609427721065913
1.4704062357760583,0.3881749231221079,bottom,0.6012812721556884
1.543018889394629,0.8642079165010159,top,0.47603299337890803
1.5490699438628432,0.3612173428239771,bottom,0.5029905736770388
1.5611720527992718,1.5712024159280986,top,1.2099850731041215
1.5732741617357002,0.4214378413058171,bottom,1.1497645746222815
1.5793252162039144,0.7258699091194671,top,0.30443206781365006
1.591427325140343,0.4056234117201143,bottom,0.32024649739935285
1.5974783796085572,0.9415533717391895,top,0.5359299600190752
1.6882441966317707,0.34690668769195554,bottom,0.594646684047234
1.724550523441056,0.8012960292626872,top,0.45438934157073163
2.111818009406767,0.31080737112500856,bottom,0.4904886581376786
2.142073281747838,0.8142629209127676,top,0.5034555497877591
2.1783796085571234,0.27170260389897294,bottom,0.5425603170137947
2.2086348808981944,0.7532597697788219,top,0.481557165879849
2.2812475345167655,-0.03661616645064214,bottom,0.7898759362294641
2.2872985889849797,0.5413347447769752,top,0.5779509112276173
2.3054517523896223,0.2428770726630205,bottom,0.2984576721139547
2.3175538613260507,0.8115359186910496,top,0.5686588460280291
2.347809133667122,0.024667784142081928,bottom,0.7868681345489676
2.3599112426035505,0.7141756421036121,top,0.6895078579615301
2.378064406008193,0.21152718571983087,bottom,0.5026484563837812
2.40226862388105,1.8421913792214468,top,1.630664193501616
2.432523896222121,-0.694714380968378,bottom,2.536905760189825
2.456728114094978,1.7250910754402753,top,2.4198054564086533
2.480932331967835,-1.441438499205617,bottom,3.1665295746458924
2.5293407677135487,1.8647889056127838,top,3.306227404818401
2.5716981489910484,-1.0158375793080836,bottom,2.8806264849208674
2.5959023668639056,1.8191883107786566,top,2.83502589008674
2.614055530268548,-1.1893297933901863,bottom,3.008518104168843
2.6503618570778333,2.1049773017213624,top,3.2943070951115487
2.6806171294189047,-1.5193130978108798,bottom,3.624290399532242
2.7108724017599757,1.7417939906435436,top,3.2611070884544233
2.735076619632833,-1.169897997557598,bottom,2.9116919882011416
2.7834850553785464,1.7490368241626015,top,2.9189348217201996
2.819791382187832,-1.1246932415370452,bottom,2.8737300656996467
2.850046654528903,2.1164227643259323,top,3.2411160058629775
2.87425087240176,-0.7463385297253922,bottom,2.8627612940513245
2.898455090274617,1.4857623880913593,top,2.2321009178167515
2.9287103626156883,-1.0132723892821218,bottom,2.499034777373481
2.9589656349567592,1.8026374154264317,top,2.8159098047085536
2.9892209072978306,-1.3479874949979944,bottom,3.150624910424426
3.0194761796389016,1.6758078801464649,top,3.0237953751444593
3.0678846153846155,-1.5627925169349624,bottom,3.238600397081427
3.086037778789258,0.6497225162547124,top,2.212515033189675
3.0981398877256865,-0.6331945412064783,bottom,1.2829170574611908
3.1102419966621153,0.48648802880001085,top,1.1196825700064892
3.1223441055985437,-0.5863267408608976,bottom,1.0728147696609085
