time_s,y_px,y_mm
0.0,1.2968796840104346,0.07833153291423026
0.006051054468214231,1.7961825908716378,0.10848942848864693
0.012102108936428463,1.2933764616633994,0.07811993828446932
0.018153163404642694,1.0270455825977365,0.06203355318890329
0.024204217872856926,1.612387835433708,0.09738822526019597
0.030255272341071157,1.3495923000998005,0.08151537492602795
0.03630632680928539,1.4505174923742175,0.08761125653940274
0.04235738127749962,1.8097051235506,0.10930618946245625
0.04840843574571385,1.2265023071917653,0.07408073935438263
0.05445949021392808,1.1018273506981018,0.06655037198216535
0.060510544682142314,0.8044156108907714,0.04858670289780259
0.06656159915035655,1.1288060718722477,0.06817988674108376
0.07261265361857078,1.1721517852926695,0.07079796783167724
0.07866370808678501,1.2608057793207195,0.07615266907097146
0.08471476255499924,0.8280266541713104,0.05001280991194715
0.09076581702321347,1.2133240604161415,0.07328477324913495
0.0968168714914277,1.275974873211851,0.0770688823419958
0.10286792595964193,1.534608235461235,0.09269033742185859
0.10891898042785617,1.469848344700324,0.08877884001989958
0.1149700348960704,0.43333521929770313,0.02617344724558127
0.12102108936428463,1.447825392479956,0.08744865370578934
0.12707214383249887,1.099975176200303,0.0664385006424983
0.1331231983007131,1.0193747025784319,0.06157023203573729
0.13917425276892734,0.7913262655750373,0.047796106440732254
0.14522530723714155,1.0249897696381254,0.06190938208614277
0.1512763617053558,0.7850516359659991,0.04741711881234635
0.15732741617357002,0.8089860878935156,0.04886275970876834
0.16337847064178426,2.384525699356857,0.14402535224115415
0.16942952510999848,2.558429797718702,0.1545291597822096
0.17548057957821273,2.1480804450205255,0.12974405887923976
0.18153163404642694,1.6707111822549336,0.100910955408198
0.1875826885146412,0.7552376535094822,0.04561635427197273
0.1936337429828554,0.3906915374954565,0.023597768864725574
0.19968479745106965,-0.4982346226109371,-0.030093371205700603
0.20573585191928387,-0.045695212550015185,-0.0027599908380209173
0.21178690638749811,-0.2933455928543367,-0.017718073808401937
0.21783796085571233,-0.24902896977022237,-0.015041349774121433
0.22388901532392658,0.4092094225537153,0.024716249122244405
0.2299400697921408,1.1630684914862854,0.07024933688577165
0.23599112426035504,2.1449871075922715,0.1295572212985732
