time_s,x_px,x_mm (time scale: 1.8)
0.666,107.2936046511628,
0.675,107.2936046511628,
0.684,104.05159735679626,
0.6930000000000001,104.05119180679321,
0.7020000000000001,102.46988797187805,
0.7110000000000001,102.46974635124207,
0.7200000000000001,103.87148809432983,
0.729,103.88986015319824,
0.738,103.60746216773987,
0.747,103.60738492012024,
0.918,101.93877551020408,
0.927,101.93877551020408,
0.936,101.95386099815369,
0.9450000000000001,101.95420217514038,
0.9540000000000001,104.23914170265198,
0.963,104.24304270744324,
0.9720000000000001,103.88379621505737,
0.9810000000000001,103.88398933410645,
0.9900000000000001,102.9556016921997,
0.9990000000000001,102.9556016921997,
1.296,102.9375,
1.3050000000000002,102.9375,
1.314,108.13399887084961,
1.3230000000000002,108.13407611846924,
1.332,102.12890625,
1.3410000000000002,102.12890625,
1.35,108.60182332992554,
1.3590000000000002,108.60182332992554,
1.368,96.6246829032898,
1.377,96.6246829032898,
1.3860000000000001,89.61134576797485,
1.395,89.61134576797485,
1.4040000000000001,96.52154445648193,
1.413,96.52124834060669,
1.512,99.6075,
1.5210000000000001,99.6075,
1.5300000000000002,90.65362858772278,
1.5390000000000001,90.6533260345459,
1.5480000000000003,101.92686295509338,
1.557,101.92686295509338,
1.566,104.38634991645813,
1.575,104.39917945861816,
1.584,101.61845827102661,
1.5930000000000002,101.61845827102661,
1.602,95.04642857142856,
1.6110000000000002,95.04642857142856,
1.62,99.76102941176471,
1.6290000000000002,99.76102941176471,
1.6380000000000001,88.078125,
1.647,88.078125,
1.6560000000000001,83.77549342105263,
1.665,83.77549342105263,
1.6740000000000002,89.52631578947368,
1.683,89.52631578947368,
1.6920000000000002,85.99675324675324,
1.701,85.99675324675324,
1.7100000000000002,83.7,
1.719,83.7,
1.7280000000000002,86.625,
1.7370000000000003,86.625,
1.746,92.14887640449439,
1.7550000000000001,92.14887640449439,
1.764,100.5369718309859,
1.7730000000000001,100.5369718309859,
1.782,86.18843283582089,
1.7910000000000001,86.18843283582089,
1.8,99.2334315776825,
1.8090000000000002,99.23355388641357,
1.8180000000000003,100.55087041854858,
1.8270000000000002,100.55087041854858,
1.836,88.06524725274724,
1.845,88.06524725274724,
1.854,93.90553977272728,
1.863,93.90553977272728,
1.872,92.49892616271973,
1.8810000000000002,92.49892616271973,
1.8900000000000001,93.26020408163265,
1.8990000000000002,93.26020408163265,
1.9080000000000001,98.20588235294117,
1.9170000000000003,98.20588235294117,
1.926,97.1846590909091,
1.935,97.1846590909091,
1.9440000000000002,92.66447368421052,
1.953,92.66447368421052,
1.9620000000000002,96.90954637527466,
1.971,96.90954637527466,
1.9800000000000002,98.625,
1.989,98.625,
1.9980000000000002,95.07616424560547,
2.007,95.07616424560547,
2.016,96.62771739130434,
2.0250000000000004,96.62771739130434,
2.0340000000000003,96.06337594985962,
2.043,96.06337594985962,
2.052,97.36974263191223,
2.0610000000000004,97.36974263191223,
2.07,99.59840425531915,
2.079,99.59840425531915,
2.088,98.41193181818183,
2.097,98.41193181818183,
2.1060000000000003,98.15858888626099,
2.115,98.15858888626099,
2.124,98.11348271369934,
2.133,98.11348271369934,
2.1420000000000003,98.12021613121033,
2.1510000000000002,98.12021613121033,
2.1600000000000006,98.41193181818183,
2.169,98.41193181818183,
2.178,97.12936046511628,
2.187,97.12936046511628,
2.196,97.1015625,
2.205,97.1015625,
2.214,95.35855263157895,
2.223,95.35855263157895,
2.232,93.79903846153846,
2.241,93.79903846153846,
2.25,94.303125,
2.2590000000000003,94.303125,
2.2680000000000002,89.51941747572816,
2.277,89.51941747572816,
2.286,95.35530821917808,
2.2950000000000004,95.35530821917808,
2.3040000000000003,96.1626838235294,
2.313,96.26305970149254,
2.3220000000000005,95.923828125,
2.3310000000000004,95.923828125,
2.3400000000000003,95.16611842105263,
2.3489999999999998,95.16611842105263,
2.358,94.33333333333333,
2.367,94.33333333333333,
2.376,93.87959558823529,
2.3850000000000002,93.87033582089552,
2.394,93.81073943661971,
2.403,94.23,
2.412,93.8671875,
2.4210000000000003,94.22635135135135,
2.43,93.91586538461539,
2.439,93.91586538461539,
2.448,94.36317567567568,
2.4570000000000003,94.36317567567568,
2.466,93.92142857142858,
2.475,93.92142857142858,
2.4840000000000004,94.078125,
2.4930000000000003,94.078125,
2.5020000000000002,95.37890625,
2.511,95.37890625,
2.5200000000000005,95.475,
2.5290000000000004,95.475,
2.538,96.16078519821167,
2.547,96.1625747680664,
2.556,97.69547872340426,
2.565,97.59375,
2.574,98.21938775510203,
2.583,97.90943877551021,
2.592,98.40441176470588,
2.601,97.91250000000001,
2.6100000000000003,98.21938775510203,
2.619,98.21938775510203,
2.628,98.5653409090909,
2.637,98.5653409090909,
2.6460000000000004,98.1219512195122,
2.6550000000000002,98.1219512195122,
2.664,97.91424418604652,
2.6730000000000005,97.91424418604652,
2.6820000000000004,98.1219512195122,
2.6910000000000003,98.1219512195122,
2.7,98.21938775510203,
2.7090000000000005,98.21938775510203,
2.7180000000000004,98.35190217391305,
2.727,98.35190217391305,
2.736,97.69547872340426,
2.745,97.80163043478261,
2.754,97.8075,
2.763,97.8075,
2.7720000000000002,97.875,
2.781,97.875,
2.79,97.54483695652173,
2.799,97.54483695652173,
2.8080000000000003,97.171875,
2.817,97.171875,
2.826,97.065,
2.8350000000000004,96.159375,
2.8440000000000003,96.159375,
2.853,96.159375,
2.862,95.7392578125,
2.8710000000000004,95.7392578125,
2.8800000000000003,95.7392578125,
2.8890000000000002,95.7392578125,
2.8980000000000006,96.8994140625,
2.9070000000000005,97.26639344262296,
2.916,95.40865384615385,
2.925,95.88319672131148,
2.934,99.26785714285714,
2.943,99.26785714285714,
2.952,102.36634615384615,
2.9610000000000003,102.36634615384615,
2.97,100.2528409090909,
2.979,100.1313202247191,
2.988,95.86323380470276,
2.9970000000000003,95.86098074913025,
3.0060000000000002,83.09154929577466,
3.015,83.09154929577466,
3.024,83.25,
3.0330000000000004,83.25,
3.0420000000000003,87.23493218421936,
3.051,87.23522186279297,
3.0600000000000005,91.74119782447815,
3.0690000000000004,91.74113345146179,
3.0780000000000003,98.63484621047974,
3.087,98.63501358032227,
3.0960000000000005,101.47977304458618,
3.105,101.47998547554016,
3.1860000000000004,85.77594339622641,
3.1950000000000003,85.77594339622641,
3.204,92.68076705932617,
3.213,92.67984652519226,
3.2220000000000004,95.79473447799683,
3.2310000000000003,95.79681372642517,
3.24,94.97048950195312,
3.2490000000000006,94.97095942497253,
3.2580000000000005,91.28994297981262,
3.2670000000000003,91.28974986076355,
3.4200000000000004,83.54846938775509,
3.4290000000000003,83.54846938775509,
3.438,83.10288461538461,
3.4470000000000005,83.10288461538461,
3.4560000000000004,90.90205693244934,
3.4650000000000003,90.90205693244934,
3.4740000000000006,97.99665212631226,
3.483,97.99665212631226,
3.492,97.6904296875,
3.501,97.6904296875,
3.5100000000000002,96.134765625,
3.519,96.134765625,
3.528,92.13077688217163,
3.5370000000000004,92.13077688217163,
3.5460000000000003,83.6099202632904,
3.555,83.6099202632904,
3.564,78.22104907035828,
3.5730000000000004,78.22091388702393,
3.5820000000000003,81.97571468353271,
3.591,81.97762656211853,
3.726,79.08238636363636,
3.7350000000000003,79.08238636363636,
3.744,93.68534482758622,
3.753,93.68534482758622,
3.7620000000000005,91.77252906976744,
3.7710000000000004,91.77252906976744,
3.7800000000000002,93.62157534246576,
3.789,93.62157534246576,
3.7980000000000005,90.1770429611206,
3.8070000000000004,90.17691421508789,
3.8160000000000003,85.64999999999999,
3.8250000000000006,85.64999999999999,
3.8340000000000005,82.49108505249023,
3.8430000000000004,82.49108505249023,
3.852,86.16137051582336,
3.861,86.1610357761383,
3.87,92.8125,
3.879,92.8125,
3.8880000000000003,94.81839622641509,
3.8970000000000002,94.81839622641509,
3.906,97.41477272727272,
3.915,97.41477272727272,
3.9240000000000004,91.64913153648376,
3.9330000000000003,91.64913153648376,
3.942,85.53515625,
3.951,85.53515625,
3.9600000000000004,82.01080441474915,
3.9690000000000003,82.00974225997925,
3.978,81.0,
3.9870000000000005,81.0,
3.9960000000000004,88.5559823513031,
